Name,Latitude,Longitude
KAKI BUKIT MRT STATION,1.334922,103.909146
BEDOK RESERVOIR MRT STATION,1.336555,103.933487
BENCOOLEN MRT STATION,1.297699,103.849272
BENCOOLEN MRT STATION,1.299195,103.850843
KAKI BUKIT MRT STATION,1.335311,103.909405
TAMPINES WEST MRT STATION,1.344999,103.938949
JALAN BESAR MRT STATION,1.30489,103.855296
BENDEMEER MRT STATION,1.313853,103.863074
BEDOK NORTH MRT STATION,1.334423,103.917811
UPPER CHANGI MRT STATION,1.34084,103.961043
GEYLANG BAHRU MRT STATION,1.321109,103.871794
TAMPINES MRT STATION,1.354871,103.943678
TAMPINES MRT STATION,1.354596,103.942723
BEDOK RESERVOIR MRT STATION,1.336348,103.932887
SENJA LRT STATION,1.382875,103.762326
YISHUN MRT STATION,1.429636,103.834866
YISHUN MRT STATION,1.429666,103.835644
SERANGOON MRT STATION,1.35079,103.872867
SERANGOON MRT STATION,1.349834,103.873641
SERANGOON MRT STATION,1.35082,103.872902
TAI SENG MRT STATION,1.335914,103.887627
EUNOS MRT STATION,1.31953,103.903215
SEMBAWANG MRT STATION,1.449157,103.819759
HOUGANG MRT STATION,1.371946,103.892972
CHANGI AIRPORT MRT STATION,1.356341,103.989277
OUTRAM PARK MRT STATION,1.282322,103.838117
OUTRAM PARK MRT STATION,1.281022,103.83864
MAXWELL MRT STATION,1.280192,103.842916
MAXWELL MRT STATION,1.281034,103.844164
MAXWELL MRT STATION,1.280919,103.844895
SHENTON WAY MRT STATION,1.277462,103.851836
SHENTON WAY MRT STATION,1.277144,103.851808
SHENTON WAY MRT STATION,1.277656,103.851034
SHENTON WAY MRT STATION,1.277003,103.850915
SHENTON WAY MRT STATION,1.27763,103.850129
SHENTON WAY MRT STATION,1.277929,103.849893
MARINA BAY MRT STATION,1.277353,103.85447
MARINA BAY MRT STATION,1.274693,103.85432
MARINA BAY MRT STATION,1.273634,103.856489
MARINA BAY MRT STATION,1.275416,103.855372
ORCHARD MRT STATION,1.304218,103.830497
ORCHARD MRT STATION,1.304046,103.831127
ORCHARD MRT STATION,1.303666,103.831507
