Postal Code,Latitude,Longitude
823273,1.402303,103.901262
380011,1.314239,103.870914
530683,1.373321,103.886366
470631,1.332959,103.914942
522201,1.353453,103.95301
524201,1.352262,103.953586
560421,1.365384,103.852967
560233,1.367549,103.836741
530106,1.353703,103.890681
760327,1.430071,103.842396
560122,1.370189,103.843413
760780,1.422139,103.832883
597071,1.32325,103.76726
259760,1.322573,103.814246
360001,1.334292,103.878746
389538,1.314207,103.8867
397693,1.302222,103.876153
307683,1.320211,103.843657
678278,1.37835,103.762741
730676,1.439916,103.800701
209037,1.307785,103.857011
247933,1.304843,103.823853
249672,1.303446,103.809382
257988,1.30571,103.824464
277725,1.310644,103.795246
389349,1.312451,103.879622
437112,1.303734,103.896498
498720,1.318452,103.985869
510625,1.378602,103.941978
598139,1.340827,103.774213
619396,1.322108,103.727481
627970,1.32492,103.7051
650440,1.355723,103.739303
735785,1.446804,103.805488
737723,1.461526,103.809439
760675,1.420156,103.843559
768929,1.444341,103.83903
820658,1.399904,103.919353
820681,1.402878,103.913196
560525,1.372646,103.853891
79027,1.274588,103.843471
427543,1.309822,103.902232
821660,1.402622,103.91652
415812,1.337339,103.903735
289230,1.331761,103.806587
289236,1.331832,103.806492
608586,1.336831,103.754341
449269,1.301191,103.905114
339511,1.309742,103.864102
437157,1.314692,103.894481
127371,1.303583,103.765285
138617,1.306849,103.788215
169038,1.283451,103.835371
207706,1.309753,103.855702
238884,1.306196,103.828509
249679,1.306792,103.810186
269716,1.324374,103.809358
276696,1.316619,103.778947
278628,1.317562,103.785841
289215,1.331491,103.806809
760291,1.435761,103.836724
628088,1.332123,103.69907
618642,1.325468,103.725222
637555,1.295014,103.626729
756992,1.45606,103.786437
138632,1.299294,103.787404
750105,1.448864,103.832393
730691,1.44063,103.806198
540338,1.399229,103.889654
790417,1.391587,103.879872
757322,1.451325,103.791095
738623,1.433513,103.779747
50004,1.281801,103.842908
321017,1.328212,103.859813
650371,1.359259,103.750695
160146,1.277849,103.830811
238896,1.300839,103.839435
409051,1.318676,103.892551
159953,1.288615,103.80501
769098,1.429698,103.835776
530205,1.359497,103.88508
120720,1.302464,103.763751
200803,1.308365,103.860913
520823,1.348733,103.93401
520829,1.349224,103.934913
738099,1.436008,103.785689
730548,1.43084,103.793416
310212,1.340643,103.854334
556083,1.350676,103.871862
188024,1.300142,103.855787
636947,1.271642,103.633512
729908,1.40853,103.759406
179030,1.291515,103.844586
238839,1.300748,103.845048
239917,1.29226,103.842561
248371,1.293018,103.826941
600061,1.322136,103.738293
698924,1.377611,103.718404
487048,1.331776,103.946201
518180,1.375588,103.96084
278116,1.311922,103.796844
760239,1.433595,103.839685
596318,1.342075,103.774633
757443,1.459828,103.820073
287994,1.338995,103.793134
389407,1.313175,103.883647
238859,1.303723,103.83524
18935,1.277372,103.852845
238839,1.300748,103.845048
237994,1.293802,103.831758
636937,1.27031,103.634164
636937,1.27031,103.634164
98375,1.247759,103.841921
259727,1.319436,103.827346
671524,1.385296,103.766171
570512,1.349622,103.849882
310192,1.331662,103.850483
520475,1.360323,103.953126
521107,1.348371,103.948129
545082,1.392198,103.904472
540118,1.384932,103.901558
574408,1.354669,103.83092
310500,1.332965,103.84705
410110,1.323977,103.91069
570279,1.357223,103.843785
510734,1.379768,103.936208
